Question,Section,Metric,Value,Interpretation
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by DIRECTOR,1,Event count can be higher than case count because one case may contain repeated rejection activities.
"5. Can you find unexpected behavior, e.g. missing permits?",Missing permit / approval checks,Declaration submitted but no permit submitted,438,Possible missing permit record before declaration submission.
"5. Can you find unexpected behavior, e.g. missing permits?",Missing permit / approval checks,Payment handled but no permit submitted,426,Possible payment despite missing permit record.
"5. Can you find unexpected behavior, e.g. missing permits?",Missing permit / approval checks,Payment handled but no permit final approval,426,Possible payment without completed permit approval.
"5. Can you find unexpected behavior, e.g. missing permits?",Missing permit / approval checks,Payment handled but no declaration final approval,0,Important approval-control check before payment.
"5. Can you find unexpected behavior, e.g. missing permits?",Sequence/order checks,Payment Handled before End trip,536,Payment appears before trip completion. This may suggest non-conformance or timestamp/data-quality issues.
6. Are there patterns that would suggest non-conformance?,Non-conformance indicators,Payment Handled before End trip,536,Payment appears before trip completion. This may suggest non-conformance or timestamp/data-quality issues.
"5. Can you find unexpected behavior, e.g. missing permits?",Sequence/order checks,Start trip after Payment Handled,415,Trip appears to start after payment is already handled. This is an abnormal sequence.
6. Are there patterns that would suggest non-conformance?,Non-conformance indicators,Start trip after Payment Handled,415,Trip appears to start after payment is already handled. This is an abnormal sequence.
"5. Can you find unexpected behavior, e.g. missing permits?",Sequence/order checks,Start trip before Permit Final Approval,1130,Trip appears to start before permit approval is fully completed.
6. Are there patterns that would suggest non-conformance?,Non-conformance indicators,Start trip before Permit Final Approval,1130,Trip appears to start before permit approval is fully completed.
"5. Can you find unexpected behavior, e.g. missing permits?",Sequence/order checks,Declaration Submitted before End trip,809,Declaration appears before trip completion. This may be allowed only if policy permits early submission.
6. Are there patterns that would suggest non-conformance?,Non-conformance indicators,Declaration Submitted before End trip,809,Declaration appears before trip completion. This may be allowed only if policy permits early submission.
"5. Can you find unexpected behavior, e.g. missing permits?",Sequence/order checks,Payment Handled before Request Payment,3,Payment appears before the payment request event.
6. Are there patterns that would suggest non-conformance?,Non-conformance indicators,Payment Handled before Request Payment,3,Payment appears before the payment request event.
6. Are there patterns that would suggest non-conformance?,Positive conformance check,Payment handled without declaration final approval,0,A value of 0 suggests that payment does not bypass declaration final approval.
7. International results prepared for later comparison,International-only comparison metrics,Total cases,6449,International log size.
7. International results prepared for later comparison,International-only comparison metrics,Total events,72151,Total number of recorded events.
7. International results prepared for later comparison,International-only comparison metrics,Unique activities,34,Number of activities in the international process.
7. International results prepared for later comparison,International-only comparison metrics,Unique variants,753,Number of unique process paths identified by Python.
7. International results prepared for later comparison,International-only comparison metrics,Top 1 variant coverage,21.23%,Share of cases following the most common variant.
7. International results prepared for later comparison,International-only comparison metrics,Top 5 variant coverage,45.27%,Share of cases covered by the five most common variants.
7. International results prepared for later comparison,International-only comparison metrics,Rejected cases,1755,Cases with at least one rejection activity.
7. International results prepared for later comparison,International-only comparison metrics,Rejection rate,27.21%,Rejected cases divided by total cases.
7. International results prepared for later comparison,International-only comparison metrics,Main bottleneck,End Trip -> Declaration Submitted by Employee,Based on largest median delay among checked intervals.
7. International results prepared for later comparison,International-only comparison metrics,Main non-conformance indicator,Start trip before Permit Final Approval,1130 cases.
8. What is missing to provide more detailed insights?,Missing data / context,Rejection reasons,Missing or not explicit in the log,Needed to identify exact causes of rejection.
8. What is missing to provide more detailed insights?,Missing data / context,Document status,Missing or not explicit in the log,Needed to know whether receipts or attachments were missing.
8. What is missing to provide more detailed insights?,Missing data / context,Travel purpose,Missing or not explicit in the log,Needed to explain why some cases require more approvals.
8. What is missing to provide more detailed insights?,Missing data / context,Destination country,Missing or not explicit in the log,Needed to analyze risk or complexity by destination.
8. What is missing to provide more detailed insights?,Missing data / context,Claim amount or amount category,Missing or not explicit in the log,Needed to assess whether high-value trips follow different paths.
8. What is missing to provide more detailed insights?,Missing data / context,Department or faculty,Missing or not explicit in the log,Needed to detect department-specific bottlenecks.
8. What is missing to provide more detailed insights?,Missing data / context,Approver ID or workload,Missing or not explicit in the log,Needed to identify workload-related delays.
8. What is missing to provide more detailed insights?,Missing data / context,Official SLA targets,Missing or not explicit in the log,Needed to judge whether observed durations are acceptable.
8. What is missing to provide more detailed insights?,Missing data / context,Official conformance rules,Missing or not explicit in the log,Needed to distinguish real violations from legitimate exceptions.
8. What is missing to provide more detailed insights?,Missing data / context,Actual vs planned travel dates,Missing or not explicit in the log,Needed to interpret sequence anomalies around trip start/end.
9. Reflect on where supervised / unsupervised ML could help,Supervised machine learning,Predict rejection risk,Potential use case,Use case features to predict whether a declaration is likely to be rejected.
9. Reflect on where supervised / unsupervised ML could help,Supervised machine learning,Predict long-running cases,Potential use case,Predict cases likely to exceed 60/90 days or SLA thresholds.
9. Reflect on where supervised / unsupervised ML could help,Supervised machine learning,Predict late declaration submission,Potential use case,Identify employees/cases likely to delay submission after trip end.
9. Reflect on where supervised / unsupervised ML could help,Supervised machine learning,Predict missing permit risk,Potential use case,Flag cases likely to have missing permit-related records.
9. Reflect on where supervised / unsupervised ML could help,Supervised machine learning,Predict payment delay,Potential use case,Identify cases likely to take long after payment request.
9. Reflect on where supervised / unsupervised ML could help,Unsupervised machine learning,Cluster process variants,Potential use case,"Group similar variants into standard, approval-heavy, rejection-heavy, or anomalous paths."
9. Reflect on where supervised / unsupervised ML could help,Unsupervised machine learning,Anomaly detection,Potential use case,Detect unusual sequences such as payment before trip end.
9. Reflect on where supervised / unsupervised ML could help,Unsupervised machine learning,Outlier detection,Potential use case,Identify extremely long-running cases.
9. Reflect on where supervised / unsupervised ML could help,Unsupervised machine learning,Sequence clustering,Potential use case,Group cases based on activity order.
9. Reflect on where supervised / unsupervised ML could help,Unsupervised machine learning,Rework pattern discovery,Potential use case,Identify repeated rejection or correction loops.
10. Can you think of useful KPIs?,Recommended KPIs,Average full throughput time,Recommended KPI,Average time from permit submission to payment handled.
10. Can you think of useful KPIs?,Recommended KPIs,Median full throughput time,Recommended KPI,Typical full process duration less affected by outliers.
10. Can you think of useful KPIs?,Recommended KPIs,End Trip -> Declaration Submitted duration,Recommended KPI,Measures employee submission delay after travel.
10. Can you think of useful KPIs?,Recommended KPIs,Declaration Submitted -> Payment Handled duration,Recommended KPI,Measures reimbursement processing time.
10. Can you think of useful KPIs?,Recommended KPIs,Request Payment -> Payment Handled duration,Recommended KPI,Measures finance/payment handling speed.
10. Can you think of useful KPIs?,Recommended KPIs,Rejection rate,Recommended KPI,Percentage of cases with at least one rejection activity.
10. Can you think of useful KPIs?,Recommended KPIs,Rework rate,Recommended KPI,Percentage of cases with repeated rejection or repeated approval loops.
10. Can you think of useful KPIs?,Recommended KPIs,Missing permit rate,Recommended KPI,Percentage of cases with declaration/payment but no recorded permit.
10. Can you think of useful KPIs?,Recommended KPIs,Start trip before permit final approval rate,Recommended KPI,Measures possible travel authorization non-conformance.
10. Can you think of useful KPIs?,Recommended KPIs,Payment before trip end rate,Recommended KPI,Measures abnormal payment timing.
10. Can you think of useful KPIs?,Recommended KPIs,Number of variants,Recommended KPI,Measures process complexity.
10. Can you think of useful KPIs?,Recommended KPIs,Top 5 variant coverage,Recommended KPI,Measures process standardization.
10. Can you think of useful KPIs?,Recommended KPIs,Cases exceeding SLA threshold,Recommended KPI,Tracks cases requiring escalation.
11. Make specific recommendations for improving the process,Recommendations,Introduce post-trip declaration reminders,Recommended action,"Send reminders 3, 7, and 14 days after trip end to reduce late employee submissions."
11. Make specific recommendations for improving the process,Recommendations,Add mandatory declaration submission checks,Recommended action,"Require receipts, dates, cost category, amount information, and permit reference before submission."
11. Make specific recommendations for improving the process,Recommendations,Add automatic permit validation,Recommended action,Flag or block cases where payment is requested without a valid permit submission and permit final approval.
11. Make specific recommendations for improving the process,Recommendations,Monitor trips starting before permit final approval,Recommended action,Trigger alerts when Start trip occurs before Permit Final Approval.
11. Make specific recommendations for improving the process,Recommendations,Escalate long-running cases,Recommended action,"Create escalation rules for cases open longer than 30, 60, 90, or 180 days."
11. Make specific recommendations for improving the process,Recommendations,Add rejection-reason fields,Recommended action,Require users or approvers to record why a permit or declaration was rejected.
11. Make specific recommendations for improving the process,Recommendations,Review rare and complex variants,Recommended action,Investigate low-frequency variants to determine whether they are legitimate exceptions or unnecessary deviations.
11. Make specific recommendations for improving the process,Recommendations,Improve timestamp reliability,Recommended action,Clarify whether trip start/end dates are planned or actual dates and validate impossible sequences.
11. Make specific recommendations for improving the process,Recommendations,Create a process monitoring dashboard,Recommended action,"Monitor throughput time, rejection rate, missing permits, non-conformance patterns, and long-running cases."
Tool comparison,Python vs Celonis,Python strength,Observation,"Exact case-level calculations, rejection rates, sequence checks, missing-permit checks, and reproducibility."
Tool comparison,Python vs Celonis,Celonis strength,Observation,"Visual process maps, Variant Explorer, Process Explorer, Throughput Time Explorer, and communication through screenshots."
Tool comparison,Python vs Celonis,Python limitation,Observation,Less visually intuitive unless additional plotting or PM4Py visualization is added.
Tool comparison,Python vs Celonis,Celonis limitation,Observation,Some case-level filtering can be difficult or misleading if filters use all-activity logic instead of any-activity logic.
Tool comparison,Python vs Celonis,Combined value,Observation,"Celonis makes the process understandable visually, while Python confirms the findings with exact numbers."
